120	La Línea de la Concepción	63 271	 Cádiz	 Andalucía
121	Ponferrada	63 052	 León	 Castilla y León
122	Irún	62 635	 Guipúzcoa	 País Vasco
123	Boadilla del Monte	62 627	 Comunidad de Madrid
124	Granollers	62 475	 Barcelona	 Cataluña
125	Aranjuez	59 762	 Comunidad de Madrid
126	Zamora	59 475	Zamora	 Castilla y León
127	Mérida	59 324	 Badajoz	 Extremadura
128	San Vicente del Raspeig	59 138	Alicante	 Comunidad Valenciana
129	Alcoy	58 960	Alicante	 Comunidad Valenciana
130	Motril	58 798	 Granada	 Andalucía
131	Ávila	57 730	 Ávila	 Castilla y León
132	Arganda del Rey	57 553	 Comunidad de Madrid
133	Sardañola del Vallés	57 291	 Barcelona	 Cataluña
134	Linares	55 729	 Jaén	 Andalucía
135	Pinto	54 088	 Comunidad de Madrid
136	Cuenca	53 389	 Cuenca	 Castilla-La Mancha
136	Colmenar Viejo	53 389	 Comunidad de Madrid
138	Huesca	53 305	 Huesca	 Aragón
139	San Bartolomé de Tirajana	52 936	Las Palmas	 Canarias
140	Calviá	52 458	 Islas Baleares
141	Granadilla de Abona	52 447	Santa Cruz de Tenerife	 Canarias
142	Elda	52 297	Alicante	 Comunidad Valenciana
143	Siero	51 792	 Principado de Asturias
144	Utrera	51 402	 Sevilla	 Andalucía
145	Villarreal	51 369	Castellón	 Comunidad Valenciana
146	Mollet del Vallés	51 294	 Barcelona	 Cataluña
147	Torrelavega	51 142	 Cantabria
148	Segovia	50 802	 Segovia	 Castilla y León
149	Ibiza	50 715	 Islas Baleares
150	Rincón de la Victoria	50 569	 Málaga	 Andalucía
151	Tres Cantos	50 187	 Comunidad de Madrid
152	Adeje	49 270	Santa Cruz de Tenerife	 Canarias
153	Vic	47 545	 Barcelona	 Cataluña
154	Mairena del Aljarafe	47 161	 Sevilla	 Andalucía
155	Figueras	47 088	Gerona	 Cataluña
156	Gavá	46 974	 Barcelona	 Cataluña
157	Esplugas de Llobregat	46 414	 Barcelona	 Cataluña
158	Santurce	45 749	 Vizcaya	 País Vasco
159	San Feliú de Llobregat	45 642	 Barcelona	 Cataluña
160	Puertollano	45 539	 Ciudad Real	 Castilla-La Mancha
161	Alcira	45 451	Valencia	 Comunidad Valenciana
162	Manacor	45 352	 Islas Baleares
163	Portugalete	44 800	 Vizcaya	 País Vasco
164	Mislata	44 282	Valencia	 Comunidad Valenciana
165	Denia	43 899	Alicante	 Comunidad Valenciana
166	Lucena	42 645	 Córdoba	 Andalucía
167	Alcantarilla	42 630	 Región de Murcia
168	Alhaurín de la Torre	42 531	 Málaga	 Andalucía
169	La Orotava	42 434	Santa Cruz de Tenerife	 Canarias
170	Puerto del Rosario	42 024	Las Palmas	 Canarias
171	Puerto Real	41 963	 Cádiz	 Andalucía
172	Antequera	41 184	 Málaga	 Andalucía
173	Igualada	40 767	 Barcelona	 Cataluña
174	Blanes	40 579	Gerona	 Cataluña
175	Santa Eulalia del Río	40 548	 Islas Baleares
176	Basauri	40 324	 Vizcaya	 País Vasco
177	Villafranca del Panadés	40 056	 Barcelona	 Cataluña
178	Écija	39 743	 Sevilla	 Andalucía
179	Soria	39 695	 Soria	 Castilla y León
180	La Rinconada	39 509	 Sevilla	 Andalucía
181	Plasencia	39 247	 Cáceres	 Extremadura
182	Vendrell	39 072	 Tarragona	 Cataluña
183	Ripollet	39 031	 Barcelona	 Cataluña
184	Rentería	39 023	 Guipúzcoa	 País Vasco
185	Lloret de Mar	38 941	Gerona	 Cataluña
186	Narón	38 938	La Coruña	 Galicia
187	San Fernando de Henares	38 904	 Comunidad de Madrid
188	Marrachí	38 902	 Islas Baleares
189	Burjasot	38 880	Valencia	 Comunidad Valenciana
190	Lluchmayor	38 722	 Islas Baleares
191	Los Palacios y Villafranca	38 662	 Sevilla	 Andalucía
192	Arucas	38 369	Las Palmas	 Canarias
193	Langreo	38 262	 Principado de Asturias
194	Torre-Pacheco	38 140	 Región de Murcia
195	Villagarcía de Arosa	37 677	 Pontevedra	 Galicia
196	Don Benito	37 310	 Badajoz	 Extremadura
197	Oleiros	37 271	La Coruña	 Galicia
198	Tudela	37 247	 Navarra
199	Los Realejos	37 076	Santa Cruz de Tenerife	 Canarias
200	San Adrián de Besós	36 918	 Barcelona	 Cataluña
201	Olot	36 716	Gerona	 Cataluña
202	Moncada y Reixach	36 666	 Barcelona	 Cataluña
203	Mieres	36 574	 Principado de Asturias
204	Águilas	36 403	 Región de Murcia
205	Teruel	36 240	 Teruel	 Aragón
206	Santa Pola	36 174	Alicante	 Comunidad Valenciana
207	Andújar	36 030	 Jaén	 Andalucía
208	Tomelloso	36 024	 Ciudad Real	 Castilla-La Mancha
209	Onteniente	35 946	Valencia	 Comunidad Valenciana
210	Cambrils	35 675	 Tarragona	 Cataluña
211	Cieza	35 298	 Región de Murcia
212	Miranda de Ebro	35 239	 Burgos	 Castilla y León
213	Yecla	35 234	 Región de Murcia
214	Azuqueca de Henares	35 182	 Guadalajara	 Castilla-La Mancha
215	Burriana	35 019	Castellón	 Comunidad Valenciana
216	Galapagar	34 834	 Comunidad de Madrid
217	Arroyomolinos	34 833	 Comunidad de Madrid
218	Villajoyosa	34 828	Alicante	 Comunidad Valenciana
219	Inca	34 093	 Islas Baleares
220	Úbeda	34 062	 Jaén	 Andalucía
